source_1,source_2,axe,description,criticite
INFO731_IDU : CM n°6 -> TD n°4 (graphe de dépendances),INFO731_IDU : CM n°6 (2025-12-01) après TD n°4 (2025-10-23) (ADE),sequence_chronologie,"INFO731_IDU : le graphe exige que CM n°6 précède TD n°4, mais dans ADE CM n°6 se déroule après TD n°4 (2025-12-01 vs 2025-10-23).",majeur
INFO731_IDU : CM n°5 -> TD n°3 (graphe de dépendances),INFO731_IDU : CM n°5 (2025-11-24) après TD n°3 (2025-10-15) (ADE),sequence_chronologie,"INFO731_IDU : le graphe exige que CM n°5 précède TD n°3, mais dans ADE CM n°5 se déroule après TD n°3 (2025-11-24 vs 2025-10-15).",majeur
INFO731_IDU : CM n°4 -> TD n°2 (graphe de dépendances),INFO731_IDU : CM n°4 (2025-11-10) après TD n°2 (2025-10-10) (ADE),sequence_chronologie,"INFO731_IDU : le graphe exige que CM n°4 précède TD n°2, mais dans ADE CM n°4 se déroule après TD n°2 (2025-11-10 vs 2025-10-10).",majeur
DATA731_IDU : CM n°6 -> TP n°3 (graphe de dépendances),DATA731_IDU : CM n°6 (2025-12-17) après TP n°3 (2025-11-20) (ADE),sequence_chronologie,"DATA731_IDU : le graphe exige que CM n°6 précède TP n°3, mais dans ADE CM n°6 se déroule après TP n°3 (2025-12-17 vs 2025-11-20).",majeur
DATA731_IDU : CM n°3 -> TP n°1 (graphe de dépendances),DATA731_IDU : CM n°3 (2025-11-17) après TP n°1 (2025-11-05) (ADE),sequence_chronologie,"DATA731_IDU : le graphe exige que CM n°3 précède TP n°1, mais dans ADE CM n°3 se déroule après TP n°1 (2025-11-17 vs 2025-11-05).",majeur
INFO932_IDU : CM n°4 -> TD n°2 (graphe de dépendances),INFO932_IDU : CM n°4 (2026-01-29) après TD n°2 (2025-12-17) (ADE),sequence_chronologie,"INFO932_IDU : le graphe exige que CM n°4 précède TD n°2, mais dans ADE CM n°4 se déroule après TD n°2 (2026-01-29 vs 2025-12-17).",majeur
INFO932_IDU : CM n°3 -> TP n°2 (graphe de dépendances),INFO932_IDU : CM n°3 (2025-12-17) après TP n°2 (2025-12-15) (ADE),sequence_chronologie,"INFO932_IDU : le graphe exige que CM n°3 précède TP n°2, mais dans ADE CM n°3 se déroule après TP n°2 (2025-12-17 vs 2025-12-15).",majeur
INFO931_IDU : CM n°2 -> TD n°1 (graphe de dépendances),INFO931_IDU : CM n°2 (2025-10-13) après TD n°1 (2025-09-29) (ADE),sequence_chronologie,"INFO931_IDU : le graphe exige que CM n°2 précède TD n°1, mais dans ADE CM n°2 se déroule après TD n°1 (2025-10-13 vs 2025-09-29).",majeur
INFO833_IDU : CM n°7 -> TD n°7 (graphe de dépendances),INFO833_IDU : CM n°7 (2026-03-31) après TD n°7 (2026-03-24) (ADE),sequence_chronologie,"INFO833_IDU : le graphe exige que CM n°7 précède TD n°7, mais dans ADE CM n°7 se déroule après TD n°7 (2026-03-31 vs 2026-03-24).",majeur
INFO833_IDU : CM n°6 -> TD n°6 (graphe de dépendances),INFO833_IDU : CM n°6 (2026-03-19) après TD n°6 (2026-03-17) (ADE),sequence_chronologie,"INFO833_IDU : le graphe exige que CM n°6 précède TD n°6, mais dans ADE CM n°6 se déroule après TD n°6 (2026-03-19 vs 2026-03-17).",majeur
INFO831_IDU : CM n°4 -> TD n°4 (graphe de dépendances),INFO831_IDU : CM n°4 (2026-02-26) après TD n°4 (2026-02-13) (ADE),sequence_chronologie,"INFO831_IDU : le graphe exige que CM n°4 précède TD n°4, mais dans ADE CM n°4 se déroule après TD n°4 (2026-02-26 vs 2026-02-13).",majeur
